"","N_raw","N_trimmed","Percent_trimmed","N_nonhuman","Percent_nonhuman","N_AMR","Percent_AMR","N_VIR","Percent_VIR","N_PHAG","Percent_PHAG","N_kaiju","N_kaijuClassified","Percent_kaijuClassified","N_kaijublast","N_kaijublastClassified","Percent_kaijublastClassified"
"TT0011",3521283,3490356,99.12,316091,9.06,79,0.025,69117,21.8662,2265,0.7166,100000,93424,93.424,1e+05,11966,11.966
"TT0012",11213133,11096700,98.96,160877,1.45,165,0.1026,55374,34.4201,784,0.4873,100000,91062,91.062,1e+05,3379,3.379
"TT0014",4154679,4118114,99.12,39767,0.97,0,0,18644,46.8831,81,0.2037,100000,85056,85.056,1e+05,126,0.126
"TT0015",3575662,3540535,99.02,44314,1.25,0,0,30406,68.6149,60,0.1354,100000,79590,79.59,1e+05,220,0.22
"TT0016",11589600,11474363,99.01,241848,2.11,22,0.0091,102886,42.5416,576,0.2382,100000,93007,93.007,1e+05,1926,1.926
"TT0017",3456536,3417871,98.88,38890,1.14,0,0,25349,65.1813,39,0.1003,100000,79104,79.104,1e+05,55,0.055
"TT0018",3607659,3559434,98.66,1734589,48.73,2367,0.1365,359035,20.6986,31991,1.8443,100000,95330,95.33,1e+05,13620,13.62
"TT0019",3609644,3565046,98.76,288860,8.1,95,0.0329,62798,21.7399,8854,3.0652,100000,91943,91.943,1e+05,14235,14.235
"TT0021",2793582,2754981,98.62,56562,2.05,90,0.1591,15272,27.0005,293,0.518,100000,90221,90.221,1e+05,5161,5.161
"TT0025",9493093,9397046,98.99,371941,3.96,48,0.0129,76858,20.664,1931,0.5192,100000,94016,94.016,1e+05,12791,12.791
"TT0029",7277905,7198043,98.9,68855,0.96,0,0,31112,45.1848,125,0.1815,100000,88464,88.464,1e+05,46,0.046
"TT0030",3210815,3169383,98.71,532345,16.8,1073,0.2016,90127,16.9302,6605,1.2407,100000,95680,95.68,1e+05,19599,19.599
"TT0031",3168951,3120056,98.46,106263,3.41,6,0.0056,33334,31.3693,124,0.1167,100000,92271,92.271,1e+05,6352,6.352
"TT0033",3589722,3542251,98.68,637985,18.01,413,0.0647,148553,23.2847,18613,2.9175,100000,93494,93.494,1e+05,15199,15.199
"TT0034",3734589,3609036,96.64,375852,10.41,357,0.095,58103,15.459,2863,0.7617,100000,93557,93.557,1e+05,15728,15.728
