SampleID,Alias,BioProject,accession,biosample_accession,Cohort,,,,,
HMSP1392,HP0018,PRJNA595703,SRR10693261,SAMN13565148,Longitudinal_stable,,,,,
HMSP1393,HP0018,PRJNA982297,SRR24889377,SAMN35699662,Longitudinal_stable,,,,,
AL0002,#N/A,PRJNA982297,SRR24889376,SAMN35699663,Cross_sectional,,,,,
AL0003,#N/A,PRJNA982297,SRR24889375,SAMN35699664,Cross_sectional,,,,,
AL0004,#N/A,PRJNA982297,SRR24889374,SAMN35699665,Cross_sectional,,,,,
CH0001,#N/A,PRJNA590225,SRR12512309,SAMN15897781,Cross_sectional,,,,,
CH0002,#N/A,PRJNA590225,SRR11661709,SAMN14790036,Cross_sectional,,,,,
CH0006,#N/A,PRJNA982297,SRR24889372,SAMN35699666,Cross_sectional,,,,,
CH0012,#N/A,PRJNA590225,SRR11661708,SAMN14790037,Cross_sectional,,,,,
CH0016,#N/A,PRJNA590225,SRR12512308,SAMN15897782,Cross_sectional,,,,,
CH0018,#N/A,PRJNA590225,SRR12512397,SAMN15897783,Cross_sectional,,,,,
CH0019,#N/A,PRJNA982297,SRR24889371,SAMN35699667,Cross_sectional,,,,,
CH0020,#N/A,PRJNA982297,SRR24889370,SAMN35699668,Cross_sectional,,,,,
CH0022,#N/A,PRJNA982297,SRR24889369,SAMN35699669,Cross_sectional,,,,,
CH0023,#N/A,PRJNA590225,SRR11661737,SAMN14790038,Cross_sectional,,,,,
CH0030,#N/A,PRJNA982297,SRR24889368,SAMN35699670,Cross_sectional,,,,,
CH0035,#N/A,PRJNA590225,SRR11661726,SAMN14790039,Cross_sectional,,,,,
CH0038,#N/A,PRJNA982297,SRR24889367,SAMN35699671,Cross_sectional,,,,,
CH0039,#N/A,PRJNA982297,SRR24889366,SAMN35699672,Cross_sectional,,,,,
CH0050,#N/A,PRJNA590225,SRR12512386,SAMN15897784,Cross_sectional,,,,,
CH0055,#N/A,PRJNA590225,SRR12512375,SAMN15897785,Cross_sectional,,,,,
DU0002,#N/A,PRJNA590225,SRR11661715,SAMN14790040,Cross_sectional,,,,,
DU0004,#N/A,PRJNA590225,SRR11661713,SAMN14790041,Cross_sectional,,,,,
DU0005,#N/A,PRJNA590225,SRR11661711,SAMN14790042,Cross_sectional,,,,,
DU0007,#N/A,PRJNA590225,SRR11661710,SAMN14790043,Cross_sectional,,,,,
DU0010,#N/A,PRJNA590225,SRR11661705,SAMN14790044,Cross_sectional,,,,,
DU0012,#N/A,PRJNA590225,SRR11661704,SAMN14790045,Cross_sectional,,,,,
DU0013,#N/A,PRJNA590225,SRR11661707,SAMN14790046,Cross_sectional,,,,,
DU0017,#N/A,PRJNA590225,SRR11661706,SAMN14790047,Cross_sectional,,,,,
DU0019,#N/A,PRJNA590225,SRR11661712,SAMN14790048,Cross_sectional,,,,,
