SampleID,Alias,BioProject,accession,biosample_accession,Cohort,,,,,
TTS1141,#N/A,PRJNA982297,SRR24889356,SAMN35699738,Cross_sectional,,,,,
TTS1146,#N/A,PRJNA982297,SRR24889355,SAMN35699739,Cross_sectional,,,,,
TTS1149,#N/A,PRJNA590225,SRR12512357,SAMN15897894,Cross_sectional,,,,,
TTS1160,#N/A,PRJNA590225,SRR12512356,SAMN15897895,Cross_sectional,,,,,
TTS1170,#N/A,PRJNA982297,SRR24889354,SAMN35699740,Cross_sectional,,,,,
TTS1188,#N/A,PRJNA590225,SRR12512355,SAMN15897896,Cross_sectional,,,,,
TTS1189,#N/A,PRJNA590225,SRR12512354,SAMN15897897,Cross_sectional,,,,,
TTS1194,#N/A,PRJNA590225,SRR12512353,SAMN15897898,Cross_sectional,,,,,
TTS1200,#N/A,PRJNA590225,SRR12512352,SAMN15897899,Cross_sectional,,,,,
TTS1203,#N/A,PRJNA982297,SRR24889353,SAMN35699741,Cross_sectional,,,,,
TTS1204,#N/A,PRJNA590225,SRR12512351,SAMN15897900,Cross_sectional,,,,,
TTS1205,#N/A,PRJNA590225,SRR12512349,SAMN15897901,Cross_sectional,,,,,
TTS1210,#N/A,PRJNA590225,SRR12512348,SAMN15897902,Cross_sectional,,,,,
TTS1212,#N/A,PRJNA590225,SRR12512347,SAMN15897903,Cross_sectional,,,,,
TTS1214,#N/A,PRJNA590225,SRR12512346,SAMN15897904,Cross_sectional,,,,,
TTS1223,#N/A,PRJNA590225,SRR12512345,SAMN15897905,Cross_sectional,,,,,
TTS1263,#N/A,PRJNA590225,SRR12512344,SAMN15897906,Cross_sectional,,,,,
TTS1272,#N/A,PRJNA590225,SRR12512343,SAMN15897907,Cross_sectional,,,,,
TTS1301,#N/A,PRJNA982297,SRR24889352,SAMN35699742,Cross_sectional,,,,,
TTS1320,#N/A,PRJNA590225,SRR12512342,SAMN15897908,Cross_sectional,,,,,
TTS1330,#N/A,PRJNA590225,SRR12512341,SAMN15897909,Cross_sectional,,,,,
HMSP1012,ID-004,PRJNA982297,SRR24889351,SAMN35699743,Cross_sectional.healthy,,,,,
HMSP1018,ID-001,PRJNA595703,SRR13061242,SAMN16796519,Cross_sectional.healthy,,,,,
HMSP1026,ID-006,PRJNA595703,SRR13061241,SAMN16796520,Cross_sectional.healthy,,,,,
HMSP1031,ID-002,PRJNA595703,SRR13061240,SAMN16796521,Cross_sectional.healthy,,,,,
HMSP1036,ID-007,PRJNA595703,SRR13061239,SAMN16796522,Cross_sectional.healthy,,,,,
HMSP1041,ID-005,PRJNA595703,SRR13061238,SAMN16796523,Cross_sectional.healthy,,,,,
HMSP1050,ID-011,PRJNA595703,SRR13061237,SAMN16796524,Cross_sectional.healthy,,,,,
HMSP1054,ID-013,PRJNA982297,SRR24889350,SAMN35699744,Cross_sectional.healthy,,,,,
HMSP1060,ID-014,PRJNA595703,SRR13061236,SAMN16796525,Cross_sectional.healthy,,,,,
HMSP1066,ID-015,PRJNA595703,SRR13061235,SAMN16796526,Cross_sectional.healthy,,,,,
HMSP1068,ID-016,PRJNA595703,SRR13061234,SAMN16796527,Cross_sectional.healthy,,,,,
HMSP1069,ID-012,PRJNA982297,SRR24889349,SAMN35699745,Cross_sectional.healthy,,,,,
HMSP1070,ID-003,PRJNA982297,SRR24889347,SAMN35699746,Cross_sectional.healthy,,,,,
HMSP1074,ID-008,PRJNA982297,SRR24889346,SAMN35699747,Cross_sectional.healthy,,,,,
HMSP1415,ID-0018,PRJNA982297,SRR24889345,SAMN35699748,Cross_sectional.healthy,,,,,
HMSP1416,ID-0020,PRJNA982297,SRR24889344,SAMN35699749,Cross_sectional.healthy,,,,,
HMSP1417,EY02,PRJNA982297,SRR24889343,SAMN35699750,Cross_sectional.healthy,,,,,
HMSP1418,Y08,PRJNA982297,SRR24889342,SAMN35699751,Cross_sectional.healthy,,,,,
HMSP1419,Y11,PRJNA982297,SRR24889341,SAMN35699752,Cross_sectional.healthy,,,,,
HMSP1420,Y19,PRJNA982297,SRR24889340,SAMN35699753,Cross_sectional.healthy,,,,,
HMSP1421,SO4,PRJNA982297,SRR24889339,SAMN35699754,Cross_sectional.healthy,,,,,
HMSP1422,ARISE04,PRJNA982297,SRR24889338,SAMN35699755,Cross_sectional.healthy,,,,,
HMSP1428,Y20,PRJNA982297,SRR24889336,SAMN35699756,Cross_sectional.healthy,,,,,
HMSP1429,S20,PRJNA982297,SRR24889335,SAMN35699757,Cross_sectional.healthy,,,,,
HMSP1430,ARISE08,PRJNA982297,SRR24889334,SAMN35699758,Cross_sectional.healthy,,,,,
KD0102,2GREEK,PRJNA982297,SRR24889333,SAMN35699759,Longitudinal_Pa_eradication,,,,,
KD0104,2GREEK,PRJNA982297,SRR24889332,SAMN35699760,Longitudinal_Pa_eradication,,,,,
KD1101,28GREEK,PRJNA982297,SRR24889331,SAMN35699761,Longitudinal_Pa_eradication,,,,,
KD1104,29GREEK,PRJNA982297,SRR24889330,SAMN35699762,Longitudinal_Pa_eradication,,,,,
KD1901,46GREEK,PRJNA982297,SRR24889329,SAMN35699763,Longitudinal_Pa_eradication,,,,,
KD1903,47GREEK,PRJNA982297,SRR24889328,SAMN35699764,Longitudinal_Pa_eradication,,,,,
KD2101,50GREEK,PRJNA982297,SRR24889327,SAMN35699765,Longitudinal_Pa_eradication,,,,,
KD2102B,52GREEK,PRJNA982297,SRR24889296,SAMN35699766,Longitudinal_Pa_eradication,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
