Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
k141_1227993.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1228055.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1228786.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1228974.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1230087.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1230806.concoct_part_1	Caudovirales	100	Unassigned	100
k141_1230806.concoct_part_3	Caudovirales	100	Myoviridae	100
k141_1231118.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1235820.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1236943.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1238093.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1245151.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1249410.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1250762.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1250996.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1251481.concoct_part_0	Caudovirales	50	Unassigned	NA
k141_1252207.concoct_part_0	no_order_Phycodnaviridae	66.6666666666667	Phycodnaviridae	100
k141_1252284.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1254034.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_125508.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1255733.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1255912.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1258536.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1260357.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1266563.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_127009.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1271130.concoct_part_0	no_order_Polydnaviridae	100	Polydnaviridae	100
k141_1273893.concoct_part_0	Caudovirales	100	Podoviridae	66.6666666666667
k141_1274672.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1274809.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1275624.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1278943.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1279500.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1283414.concoct_part_0	Caudovirales	50	Siphoviridae	60
k141_1284425.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1284581.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1286032.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1287427.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1288824.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_128914.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_128970.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1292600.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1293524.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1297225.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1302003.concoct_part_0	Caudovirales	50	Siphoviridae	66.6666666666667
k141_130288.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1306588.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1311434.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1311956.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_1312146.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1313997.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1314058.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1314481.concoct_part_0	Caudovirales	100	Siphoviridae	83.3333333333333
k141_1317830.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1318450.concoct_part_0	Caudovirales	100	Podoviridae	66.6666666666667
k141_1327303.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1344848.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1346846.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1347234.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1353846.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1358118.concoct_part_0	Caudovirales	100	Siphoviridae	75
k141_1360059.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1362775.concoct_part_0	Caudovirales	100	Siphoviridae	95.6521739130435
k141_1365998.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1366347.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_136888.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1371299.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1374531.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_13750.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_1376576.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_137697.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1377545.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1378268.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_140159.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1403849.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1420509.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1422995.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1425566.concoct_part_0	Caudovirales	100	Siphoviridae	83.3333333333333
k141_1429166.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1433360.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1442216.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1442900.concoct_part_0	Caudovirales	100	Unassigned	100
k141_1446065.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1449359.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_145184.concoct_part_0	Mononegavirales	100	Nyamiviridae	100
k141_1453553.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1455834.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1458360.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1462309.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1467655.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_146952.concoct_part_1	Caudovirales	100	Siphoviridae	70
k141_1471556.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1472172.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_147224.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_147415.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1478408.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1478914.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1480631.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1482088.concoct_part_0	Caudovirales	50	Siphoviridae	66.6666666666667
k141_1482408.concoct_part_0	Caudovirales	100	Siphoviridae	57.1428571428571
k141_1482980.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1484233.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_148458.concoct_part_0	no_order_Polydnaviridae	100	Polydnaviridae	100
k141_1484846.concoct_part_0	Caudovirales	100	Siphoviridae	83.3333333333333
k141_1485792.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1486065.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1487157.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1488967.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1491680.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1493507.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1494943.concoct_part_0	Caudovirales	100	Myoviridae	50
k141_1495217.concoct_part_0	Caudovirales	50	Unassigned	NA
k141_149589.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1502681.concoct_part_0	Caudovirales	100	Siphoviridae	77.7777777777778
k141_1508253.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1514370.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1515175.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1516121.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1519325.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1520777.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1520847.concoct_part_0	Caudovirales	100	Podoviridae	66.6666666666667
k141_1521913.concoct_part_0	Caudovirales	50	Siphoviridae	66.6666666666667
k141_1523709.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1526513.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1531975.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1532384.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1535835.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_153702.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_153859.concoct_part_0	Caudovirales	100	Siphoviridae	100
