Sample_ID,Type,Pseudomonas aeruginosa,Haemophilus influenzae,Streptococcus mitis,Rothia mucilaginosa,Streptococcus parasanguinis,Streptococcus pneumoniae,Klebsiella pneumoniae,Moraxella catarrhalis,Gemella sanguinis,Streptococcus salivarius,Haemophilus parainfluenzae,Streptococcus oralis,Prevotella melaninogenica,Gemella haemolysans,Streptococcus pseudopneumoniae,Serratia marcescens,Neisseria subflava,Streptococcus infantis,Acinetobacter baumannii,Mycobacterium tuberculosis,Leptotrichia wadei,Veillonella atypica,Staphylococcus aureus,Schaalia odontolytica,Streptococcus sanguinis,Veillonella dispar,Veillonella parvula,Sphingomonas melonis,Escherichia coli,Enterococcus faecalis,Sphingomonas sp. FARSPH,Cutibacterium acnes,Aspergillus fumigatus,Malassezia restricta,Plasmodium ovale,Pseudomonas sp. PGPPP1,Pyrrhoderma noxium,Aspergillus terreus,Lentinus tigrinus,Other,Aminoglycoside,MLS,Nucleoside antibiotic,Nitroimidazole antibiotic,Aminocoumarin antibiotic,Beta-lactam,Antibacterial free fatty acids,Streptogramin antibiotic,Triclosan,Fosfomycin,Fluoroquinolone,Fusidic acid,Sulfonamide antibiotic,Diaminopyrimidine,Rifamycin,Tetracycline,Peptide antibiotic,Glycopeptide,Bicyclomycin,Pleuromutilin,Acridine dye,Phenicol,Multidrug,Mupirocin
KL0004,Sample,641,2,92,298,1636,180,91,4,1,27,2,227,35,0,13,1,0,10,78,44,0,62,14,63,37,96,138,0,27,7,0,4,0,0,0,0,0,0,0,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0006,Sample,1445,45,1,1,3,15,395,1,0,5,0,0,1,0,1,3,0,2,331,8,0,0,2,0,3,0,0,0,291,7,0,7,0,0,0,0,0,0,0,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0007,Sample,13,37,996,415,460,518,14,1,630,277,104,616,321,58,286,0,56,186,9,130,227,138,11,192,251,38,69,0,16,11,0,2,0,3,0,0,0,0,0,1841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0008,Sample,5,2,56,1875,51,80,3,9,4,3,6,64,7,2,47,0,0,371,9,151,7,2,2,37,5,85,13,0,8,7,0,14,0,0,0,0,0,0,0,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0009,Sample,4208,3,1,1,3,21,225,2,0,1,0,8,12,0,1,8,0,0,325,5,49,4,6,0,9,3,7,0,14,4,0,12,0,5,0,0,0,0,0,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0010,Sample,21,62,1121,3063,765,607,1,0,1791,281,812,262,502,107,370,3,395,1205,6,580,200,40,4,309,66,99,40,0,10,8,0,2,0,0,0,0,0,0,0,847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0011,Sample,9,81,2737,748,667,1421,10,1,630,351,261,620,190,637,1593,0,75,468,10,184,439,125,26,368,121,27,20,0,19,9,0,4,0,2,0,0,0,0,0,1211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0012,Sample,2188,0,5,3,9,10,80,0,1,0,1,0,0,5,0,0,0,3,143,5,0,4,354,2,0,0,0,0,11,22,0,8,0,0,0,0,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0013,Sample,2444,6,0,1,4,9,123,1,1,2,1,1,0,0,0,0,1,0,140,6,0,1,116,0,0,0,0,0,14,35,0,8,0,1,0,0,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0014,Sample,3,3,0,2,1,3,904,1,6,0,0,2,11,0,0,2,3,0,25,5,0,1,11,9,0,0,1,0,32,34,0,10,0,0,0,0,0,0,0,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0016,Sample,3,71,936,155,212,431,344,26,3,747,5,75,112,8,112,0,3,7,4,24,348,639,27,985,45,356,476,0,14,7,0,5,0,0,0,0,0,0,0,1722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0017,Sample,337,2,0,2,0,2,29,2,1,0,4,3,0,0,0,0,0,0,47,5,0,0,1,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0018,Sample,20,69,548,327,335,351,13,9164,5080,47,713,393,73,274,109,0,351,289,68,74,40,8,20,61,141,12,29,0,42,5,0,0,0,0,0,0,0,0,0,1335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0019,Sample,601,0,13,265,2,6,43,0,2,3,0,8,89,4,4,0,4,8,44,46,4,5,6,40,1,37,42,0,11,19,0,13,0,0,0,0,0,0,0,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0020,Sample,0,3,275,3311,7493,492,10,0,23,1985,0,129,0,61,65,0,1,109,6,244,0,5,61,3,111,16,105,0,14,6,0,1,0,0,0,0,0,0,0,948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0021,Sample,1,65,248,3,6122,276,170,2,5,82,687,129,190,0,27,2,43,72,13,5,1,231,37,1,47,128,531,0,24,50,0,8,0,42,0,0,0,0,0,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0022,Sample,5215,3,63,195,175,69,274,6,6,4,4,473,50,0,20,3,229,38,404,32,1,8,4,3,151,5,31,0,12,6,0,5,0,0,0,0,0,0,0,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0023,Sample,4,15,5,8,95,51,1,5,0,5,0,29,467,0,4,0,1,1,10,6,59,24,13,10,3,72,443,0,8,12,0,8,0,5,0,0,0,0,0,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0024,Sample,3,0,58,4888,2064,266,0,0,2,50,4,102,1566,1,60,0,0,140,1,592,1,37,9,275,20,518,108,0,17,15,0,1,0,0,0,0,0,0,0,882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0025,Sample,470,2,9,32,21,13,35,0,4,5,6,6,11,0,5,0,0,6,31,13,9,2,5,3,2,0,2,0,3,12,0,9,0,6,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0026,Sample,37,38,506,73,75,370,26,39,262,501,231,249,15,0,26,1,495,18,20,57,154,15,10,81,950,154,65,0,8,4,0,2,0,2,0,0,0,0,0,1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0027,Sample,9899,3,379,27,34,286,453,3,2,16,25,57,146,1,68,7,53,61,631,6,7,16,12,62,260,14,135,0,12,10,0,4,0,0,0,0,0,0,0,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0028,Sample,1,1527,142,1292,43,113,22,0,84,85,85,131,376,10,69,0,25,226,58,193,205,40,8,65,5,106,65,0,6,10,0,3,0,0,0,0,0,0,0,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0029,Sample,2,458,10,90,5,8,9,0,0,6,4,8,19,0,5,0,7,5,39,24,5,2,1,8,1,4,0,0,14,16,0,13,0,0,0,0,0,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0031,Sample,5697,41,915,826,195,381,284,0,900,10,825,55,107,233,80,3,146,20,398,133,5,6,10,553,589,17,16,0,25,3,0,4,0,0,0,0,0,0,0,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0035,Sample,110,0,0,0,0,5,2,0,0,1,0,0,0,0,1,4,0,0,57,4,0,0,19,18,0,2,11,0,5,0,0,2,0,1,0,0,0,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0036,Sample,12,95,0,4,7,2,5,0,0,2,0,0,0,7,1,0,0,0,6,3,0,0,0,0,0,0,0,0,4,12,0,3,0,0,0,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0037,Sample,29,6,2,8,0,4,24,3,2,4,4,5,0,1,0,8,101,0,5,7,2,1,4,1,0,0,1,0,14,12,0,24,0,2,0,0,0,0,0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0039,Sample,3,20,6,7,313,29,6825,0,3,2,0,4,0,0,1,2,0,11,38,8,27,0,6,0,7,8,3,0,204,11,0,10,0,5,0,0,0,0,0,3159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0040,Sample,20,1,0,2,2,2,9,35,22,5,6,0,1,0,0,0,7,12,22,5,0,0,17,0,0,0,0,0,2,13,0,4,0,0,0,0,0,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0041,Sample,0,0,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,10,10,0,0,1,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0042,Sample,5,0,1,14,5,1,0,0,0,0,3,0,4,4,0,0,2,0,6,9,0,0,4,0,4,0,0,0,2,8,0,7,0,0,0,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0043,Sample,5,4,4,3,2,6,3,1,0,0,0,1,0,2,0,0,5,4,5,7,0,0,1,0,0,0,0,0,8,8,0,4,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0003,Sample,699,25,1782,391,929,998,52,1,345,103,363,393,199,214,281,3,399,407,62,69,271,334,20,111,45,206,87,0,9,13,0,11,0,0,0,0,0,0,0,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0004,Sample,1455,10,11,17,4,14,105,0,6,4,10,2,2,2,0,4,4,6,114,14,1,0,2,11,8,3,4,0,12,1,0,10,0,0,0,0,0,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0006,Sample,2054,130,1750,246,345,839,98,0,80,55,418,224,196,430,208,2,598,127,97,58,117,94,14,84,34,63,21,0,805,10,0,4,0,0,0,0,0,0,0,1142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0007,Sample,1,32,334,1516,199,210,2,2,453,29,212,140,1559,201,45,0,336,91,8,140,742,205,7,487,31,448,128,0,16,6,0,1,0,0,0,0,0,0,0,1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0008,Sample,6,10,19,8,12,21,8337,3,1,6,4,3,15,4,0,2,10,3,26,12,9,1,6,5,7,3,5,0,142,27,0,37,0,61,0,0,0,0,0,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0009,Sample,0,5,110,70,98,99,6,2,203,14,8,155,33,141,29,0,7,22,10,15,107,16,5,8,7,7,11,0,1,252,0,4,0,0,0,0,0,0,0,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0010,Sample,1,84,1426,1045,217,1403,5,0,92,21,819,300,36,418,231,1,1474,89,7,119,80,14,7,113,27,14,28,0,6,10,0,2,0,0,0,0,0,0,0,1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0011,Sample,4,16,29,10,23,20,4312,10,1,6,0,2,1,8,1,2,0,6,40,3,7,2,1,0,1,0,0,0,58,23,0,7,0,0,0,0,0,0,0,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0012,Sample,5,16334,39,40,9,17,2,1,12,11,94,7,19,12,6,1,14,8,15,8,6,1,5,6,3,2,4,0,28,6,0,5,0,4,0,0,0,0,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0015,Sample,11,3106,283,429,119,146,0,1,50,16,63,42,15,29,52,2,80,50,19,28,35,14,12,55,4,26,17,0,16,7,0,12,0,0,0,0,0,0,0,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE0018,Sample,3,15,529,42,61,348,5931,6,8,26,13,50,3,136,265,3,13,12,35,19,11,7,5,0,15,1,1,0,107,11,0,13,0,0,0,0,0,0,0,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0001,Sample,2,6,376,76,170,160,13,3,113,398,81,110,107,37,72,0,25,23,24,12,228,214,10,36,76,74,134,0,8,17,0,7,0,5,0,0,0,0,0,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0002,Sample,4,560,170,161,131,101,0,0,37,837,10,27,13,698,38,0,0,0,6,13,1,98,15,35,14,33,9,0,12,3,0,1,0,0,0,0,0,0,0,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0003,Sample,5,3,11,20,3,1,0,0,2,6,6,4,5,0,3,0,0,6,3,11,0,0,6,3,0,0,0,0,0,104,0,6,0,0,0,0,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0006,Sample,0,1596,35,11,8,24,7132,1,0,3,5,6,5,12,10,0,4,8,17,4,8,3,1,1,7,0,1,0,121,3,0,2,0,0,0,0,0,0,0,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0012,Sample,2,298,102,2807,1020,227,3,1,560,2692,4703,137,1094,7,37,3,20,160,7,542,2,82,19,372,148,309,61,0,20,7,0,4,0,2,0,0,0,0,0,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0024,Sample,1,42,4158,762,266,2158,13,0,210,163,267,1087,66,1180,639,0,271,264,7,121,123,83,20,39,149,79,67,0,4,7,0,6,0,0,0,0,0,0,0,908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0025,Sample,4,11,6,11,6,16,8398,9,2,3,7,0,0,0,1,1,1,0,28,14,2,0,2,0,4,2,0,0,130,82,0,11,0,0,0,0,0,0,0,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0028,Sample,10,12,120,30,134,62,3,0,228,22,63,43,9,82,35,0,12,47,15,13,103,31,3,13,1,87,8,0,6,283,0,6,0,0,0,0,0,0,0,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG0031,Sample,10225,0,27,2,1,14,462,0,0,2,2,2,4,6,1,2,0,1,672,3,1,1,9,0,1,0,0,0,892,39,0,4,0,0,0,0,0,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0001,Sample,10895,3,16,30,19,31,446,0,7,1,11,8,13,0,2,4,27,5,673,17,0,1,7,4,0,5,7,0,6,7,0,13,0,15,0,0,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0002,Sample,6,919,2418,213,321,1563,24,1,604,54,449,747,155,546,452,2,257,429,18,67,188,68,25,208,125,25,28,0,9,9,0,6,0,0,0,0,0,0,0,931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0003,Sample,1093,8,99,77,272,149,37,0,35,102,28,292,235,8,36,1,2,70,67,21,28,60,17,53,74,120,46,0,19,106,0,38,0,32,0,0,0,0,0,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0004,Sample,5,338,50,0,178,104,4,1,1555,24,4647,33,58,39,8,0,265,67,4,8,3,77,4,0,77,432,199,0,15,5,0,2,0,0,0,0,0,0,0,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0005,Sample,11143,9,3,9,11,22,370,5,0,5,0,1,8,6,0,5,1,12,588,16,5,2,7,2,0,0,3,0,12,6,0,2,0,0,0,0,0,0,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0006,Sample,4,4,394,998,3019,452,50,1,106,1434,30,261,437,12,132,1,12,235,27,131,585,590,296,52,36,329,242,0,28,19,0,3,0,0,0,0,0,0,0,677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0007,Sample,8493,18,47,56,50,56,367,3,136,19,180,31,310,12,20,7,94,55,530,16,147,43,10,18,2,20,6,0,20,0,0,5,0,0,0,0,0,0,0,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0008,Sample,266,39,51,33,22,46,6376,0,19,25,95,21,54,10,8,1,26,2,30,31,27,12,6,12,35,13,5,0,141,8,0,7,0,0,0,0,0,0,0,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0009,Sample,5,47,1144,435,582,768,4,0,130,401,182,454,212,42,201,0,9,76,12,73,23,591,335,106,71,53,94,0,11,40,0,3,0,0,0,0,0,0,0,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0010,Sample,11,33,598,279,298,293,12,1,139,67,157,117,70,53,94,0,52,45,17,57,273,36,10,31,9,20,37,0,9,96,0,4,0,0,0,0,0,0,0,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0011,Sample,28,1,10,36,17,18,4,1,6,0,11,4,12,15,0,0,6,6,17,11,5,3,0,3,0,5,0,0,10,1,0,8,0,0,0,0,0,0,0,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0012,Sample,4,343,4568,690,547,2081,1,0,541,146,581,448,250,1133,625,2,72,336,5,114,4,49,31,123,72,31,66,0,22,20,0,1,0,0,0,0,0,0,0,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0013,Sample,11,20,277,454,67,123,8,4860,137,14,32,25,254,91,34,0,186,25,38,42,6,16,28,52,8,15,14,0,30,18,0,9,0,0,0,0,0,0,0,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0014,Sample,5,98,291,792,336,254,12,21,1025,46,1077,132,343,64,78,2,1026,615,10,85,110,64,11,206,41,135,66,0,6,5,0,1,0,0,0,0,0,0,0,1723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0015,Sample,1,130,3809,894,799,1650,8,0,1251,234,250,369,456,951,520,0,112,507,8,161,419,110,35,677,149,144,38,0,15,17,0,0,0,2,0,0,0,0,0,1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBE0016,Sample,11323,6,21,33,21,19,551,0,40,22,56,6,39,6,5,6,2,22,816,2,2,3,2,20,4,4,1,0,8,7,0,3,0,0,0,0,0,0,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS002,Sample,62,25,973,56,54,773,23,6,24,47,188,279,3,36,335,3,37,210,33,40,12,12,43,3,516,20,49,0,10,59,0,15,0,1,0,0,0,0,0,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS006,Sample,1,148,723,247,133,638,4,149,106,22,982,167,790,144,217,1,223,220,10,43,143,327,13,121,35,244,101,0,21,6,0,2,0,0,0,0,0,0,0,953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS011,Sample,1028,224,1137,415,76,676,159,0,199,28,294,171,126,878,214,3,565,65,99,68,6,24,10,76,23,56,21,0,68,10,0,3,0,0,0,0,0,0,0,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS035,Sample,132,131,241,149,16,153,12,0,37,13,36,32,50,65,41,0,25,50,5,43,4,5,5,3,6,19,8,0,3,2,0,7,0,0,0,0,0,0,0,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS150,Sample,35,15,115,65,13,36,0,3,58,0,16,20,4,29,22,50,47,19,13,24,0,1,0,3,10,12,16,0,4,10,0,0,0,0,0,0,0,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS153,Sample,12,26,838,13,353,520,13,3,120,105,173,166,10,176,158,1,498,75,19,20,113,169,5,61,48,67,111,0,11,17,0,6,0,1,0,0,0,0,0,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS160,Sample,7651,9,4,0,2,5,355,3,1,0,0,4,3,5,0,5,0,0,536,3,0,0,13,0,2,1,0,0,15,8,0,4,0,0,0,0,0,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS165,Sample,0,6,1118,158,922,675,28,0,366,3122,79,395,448,519,205,6,45,46,27,54,22,224,42,70,57,95,74,0,22,17,0,5,0,0,0,0,0,0,0,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS277,Sample,2,171,117,262,296,173,16,0,384,22,19,18,221,13,76,0,35,21,15,60,0,67,18,97,3,78,15,0,13,14,0,2,0,0,0,0,0,0,0,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS349,Sample,3,13,3306,329,364,2209,2,0,411,493,89,1078,27,316,633,6,0,552,2,106,2,23,15,2,199,11,43,0,71,9,0,4,0,0,0,0,0,0,0,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS365,Sample,13,20,4,0,0,0,166,0,0,0,0,0,0,0,0,1607,0,0,72,1,0,0,7,0,3,0,1,0,185,4,0,0,0,0,0,0,0,0,0,12005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBS385,Sample,0,352,60,45,55,53,7,2,215,26,45,35,8,44,20,11,29,58,19,26,1,5,22,21,8,21,3,0,10,4,0,1,0,0,0,0,0,0,0,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
