Sample_ID,Type,Pseudomonas aeruginosa,Haemophilus influenzae,Streptococcus mitis,Rothia mucilaginosa,Streptococcus parasanguinis,Streptococcus pneumoniae,Klebsiella pneumoniae,Moraxella catarrhalis,Gemella sanguinis,Streptococcus salivarius,Haemophilus parainfluenzae,Streptococcus oralis,Prevotella melaninogenica,Gemella haemolysans,Streptococcus pseudopneumoniae,Serratia marcescens,Neisseria subflava,Streptococcus infantis,Acinetobacter baumannii,Mycobacterium tuberculosis,Leptotrichia wadei,Veillonella atypica,Staphylococcus aureus,Schaalia odontolytica,Streptococcus sanguinis,Veillonella dispar,Veillonella parvula,Sphingomonas melonis,Escherichia coli,Enterococcus faecalis,Sphingomonas sp. FARSPH,Cutibacterium acnes,Aspergillus fumigatus,Malassezia restricta,Plasmodium ovale,Pseudomonas sp. PGPPP1,Pyrrhoderma noxium,Aspergillus terreus,Lentinus tigrinus,Other,Aminoglycoside,MLS,Nucleoside antibiotic,Nitroimidazole antibiotic,Aminocoumarin antibiotic,Beta-lactam,Antibacterial free fatty acids,Streptogramin antibiotic,Triclosan,Fosfomycin,Fluoroquinolone,Fusidic acid,Sulfonamide antibiotic,Diaminopyrimidine,Rifamycin,Tetracycline,Peptide antibiotic,Glycopeptide,Bicyclomycin,Pleuromutilin,Acridine dye,Phenicol,Multidrug,Mupirocin
CH0023,Sample,270,4,244,1601,2102,539,21,0,5,1498,14,51,45,0,111,0,1,33,40,191,111,373,12,66,31,574,605,0,16,15,0,4,0,1,0,0,0,0,0,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0030,Sample,0,1,0,20,2,7,1,2,0,3,0,0,0,0,0,0,0,2,7,4,2,0,10,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0035,Sample,43,12,1633,301,372,744,176,2,324,966,81,1020,487,872,196,1,98,81,11,81,329,148,19,46,100,149,55,0,12,8,0,4,0,0,0,0,0,0,0,4525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0038,Sample,0,2,5,6,7,2,5,0,0,0,4,6,0,4,0,0,4,4,13,6,0,0,0,0,0,0,0,0,0,3,0,7,0,19,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0039,Sample,1,6,4,12,0,8,0,6,1,3,8,0,11,0,0,0,0,0,5,18,0,0,5,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0050,Sample,4,1094,342,1442,122,231,6,2081,212,28,26,65,61,284,91,0,59,65,25,118,17,7,5,59,20,3,11,0,13,16,0,17,0,0,0,0,0,0,0,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0055,Sample,1,12,6,19,26,24,6399,1,6,63,0,17,5,14,3,2,0,2,14,17,1,10,2,50,12,3,1,0,130,48,0,6,0,3,0,0,0,0,0,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0002,Sample,7,8004,6,0,17,14,4,6,0,0,32,5,3,0,0,0,0,4,12,6,4,2,4,0,0,2,1,0,20,3,0,11,0,0,0,0,0,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0004,Sample,4,207,191,603,866,328,124,1,529,1303,35,607,130,47,95,0,0,108,61,120,1,129,25,1,31,32,46,0,14,22,0,6,0,0,0,0,0,0,0,1496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0005,Sample,5,86,1481,1877,4895,966,3,8,546,590,2,286,2,4,588,3,0,384,3,218,0,24,28,382,55,16,31,0,20,8,0,2,0,1,0,0,0,0,0,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0007,Sample,23,19,37,45,24,46,14,0,4,12,11,7,51,6,8,3,42,17,7,18,4,22,5,3,0,5,4,0,22,13,0,6,0,0,0,0,0,0,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0010,Sample,0,15960,1478,624,1407,689,4,0,113,68,85,643,14,48,181,2,3,41,3,133,182,43,5,111,62,63,29,0,33,6,0,2,0,0,0,0,0,0,0,1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0012,Sample,345,72,25,41,40,21,40,0,14,6,2,6,24,27,5,13,33,25,46,26,4,5,5,6,2,12,2,0,3,3,0,21,0,0,0,0,0,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0013,Sample,41,7,6,106,25,22,18,3,5,3,15,13,4,10,7,3,13,5,8,15,2,2,2,16,27,10,11,0,39,6,0,6,0,0,0,0,0,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0017,Sample,16,1295,1033,471,134,534,2,1605,348,14,83,230,8,866,174,2,93,82,65,83,0,11,20,181,49,14,12,0,55,71,0,0,0,1,0,0,0,0,0,1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0019,Sample,117,9686,2195,46,430,1323,7,1360,396,38,30,1456,2,32,544,3,5,190,17,33,1,16,15,27,32,3,11,0,35,8,0,0,0,1,0,0,0,0,0,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0034,Sample,1430,78,1425,2716,425,759,59,1,758,59,669,425,22,347,200,0,542,261,112,516,8,17,8,145,41,54,90,0,16,8,0,5,0,0,0,0,0,0,0,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0038,Sample,14,4430,72,44,69,45,6,10522,39,4,20,67,0,30,9,0,4,19,62,12,6,0,6,0,13,0,2,0,60,14,0,10,0,0,0,0,0,0,0,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0047,Sample,8675,3,16,19,8,32,418,0,0,0,0,6,0,8,1,1,0,2,652,8,0,1,2,0,0,0,1,0,48,7,0,6,0,0,0,0,0,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0058,Sample,2,19,1258,2115,725,590,9,1,818,170,61,794,64,1626,142,0,8,259,5,368,46,33,35,5,780,65,133,0,6,57,0,3,0,2,0,0,0,0,0,5056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0059,Sample,5,1410,3542,655,702,4975,2,347,225,307,19,1304,19,1251,842,0,4,638,9,180,26,17,28,69,111,9,22,0,39,9,0,4,0,0,0,0,0,0,0,994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0063,Sample,4,3982,1468,185,239,1637,2,1,396,16,102,294,549,281,619,1,178,194,14,63,113,46,19,164,24,63,23,0,9,16,0,5,0,0,0,0,0,0,0,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0064,Sample,2451,5830,1019,1111,904,611,101,0,614,70,139,169,228,120,161,1,3,36,140,279,121,138,13,23,108,48,82,0,27,6,0,2,0,0,0,0,0,0,0,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0071,Sample,0,1,164,142,1193,210,104,0,3,46,1,135,26,1,320,0,2,384,16,24,2,27,17,10,10,13,1,0,33,8,0,2,0,0,0,0,0,0,0,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0074,Sample,3,102,971,376,250,584,7,0,76,34,16,472,10,216,170,0,0,71,6,73,5,18,5,131,186,20,37,0,7,40,0,17,0,5,0,0,0,0,0,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0076,Sample,4,32,1121,1302,1781,754,0,635,883,381,119,893,73,499,776,1,4,501,31,253,5,62,721,378,157,80,28,0,21,11,0,4,0,0,0,0,0,0,0,1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0077,Sample,0,18,769,3430,3190,656,1,1,713,683,1,980,109,57,338,0,0,417,2,910,7,34,14,532,23,65,18,0,9,10,0,2,0,0,0,0,0,0,0,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0083,Sample,0,5,3,5,121,14,4,0,2,30,0,18,1,0,0,0,0,3,6,19,0,14,0,0,3,2,37,0,2,1,0,6,0,0,0,0,0,0,0,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0087,Sample,6,11020,119,1086,1516,163,4,1,84,66,42,54,348,26,45,0,0,13,10,199,926,92,6,471,33,88,22,0,24,12,0,6,0,0,0,0,0,0,0,1496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0089,Sample,5,41,497,2745,1905,277,3,0,244,247,172,69,7,2,29,0,43,27,9,550,9,44,16,42,803,84,46,0,13,21,0,6,0,0,0,0,0,0,0,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU0099,Sample,5,2502,524,170,518,265,1,35,568,24,134,168,64,28,173,3,8,97,13,57,16,15,17,23,50,16,77,0,28,15,0,7,0,0,0,0,0,0,0,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT103,Sample,894,60,36,38,11,25,44,6,33,18,15,10,6,6,4,9,2,14,101,23,3,3,692,12,0,1,5,0,512,131,0,154,0,85,0,0,0,0,0,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT11,Sample,432,11,44,84,73,55,27,24812,45,2,129,15,70,9,12,0,51,10,60,30,61,30,11,14,7,19,13,0,49,5,0,5,0,0,0,0,0,0,0,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT148,Sample,6196,15,57,18,3,34,301,5,13,0,7,16,1,17,15,2,4,1,431,15,3,0,9,3,0,3,3,0,18,6,0,9,0,0,0,0,0,0,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT173,Sample,3096,5,32,7,0,24,196,2,6,0,0,0,2,0,0,5,0,0,281,1,0,0,5,0,0,0,0,0,3,79,0,3,0,0,0,0,0,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT197,Sample,495,45,18,20,24,18,21,0,16,13,8,16,29,0,4,0,9,1,48,10,3,6,5,7,2,11,0,0,10,13,0,9,0,0,0,0,0,0,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT202,Sample,4,3244,130,43,121,549,8,36,83,31,22,12,54,57,24,1,25,27,27,21,90,49,7,21,3,9,9,0,20,18,0,19,0,0,0,0,0,0,0,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
