,Aminoglycoside,Tetracycline ,Phenicol,Multidrug ,"Macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic",Nucleoside antibiotic,Peptide antibiotic,Nitroimidazole antibiotic,Fluoroquinolone,Aminocoumarin antibiotic,Beta-lactam,Antibacterial free fatty acids,Triclosan,Fosfomycin,Diaminopyrimidine,Sulfonamide antibiotic,Rifampicin,Mupirocin,Bicyclomycin,Acridine dye,Fusidic acid
TT0021,88.70114657,129.1672689,0,515.4471356,0,201.7533653,238.2118344,0,261.4657425,13.09414479,103.1803559,0,0,39.12130565,0,0,0,0,0,0,0
TT0025,0,15.37492315,0,37.37771464,15.68153443,0,0,0,9.802390519,0,0,0,0,0,0,0,0,0,0,0,0
TT0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0030,82.04571299,135.3890745,90.20560938,840.1688613,59.54832182,0,55.78571643,0,94.99189727,0,13.83078017,0,93.24759052,34.54794358,0,0,0,0,30.97055587,0,0
TT0031,0,0,0,0,20.07811668,0,19.47963836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0033,21.0228585,81.31725532,0,17.41760008,79.08474726,0,0,0,228.1747628,0,10.36711054,3.207150711,0,0,0,0,0,0,0,0,0
TT0034,15.30085057,80.27750448,43.56014039,293.6978352,99.34599451,0,24.46067454,0,48.35467159,0,37.44241036,20.95108711,23.15218327,18.49373516,0,0,0,0,11.86649087,0,0
TT0038,30.76668841,32.28033167,70.48850957,783.5941488,137.8010904,0,67.61802005,0,128.1505852,0,11.2291459,0,106.0231848,30.19614876,0,0,0,0,9.860158452,0,0
TT0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0042,43.38905087,0,0,15.25014523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0043,43.10484639,0,39.68531268,116.2011793,39.09372275,0,93.88211693,0,13.56808413,0,0,0,28.11167502,0,0,0,0,0,28.40318264,0,0
TT0045,188.504877,0,221.9104816,1212.423273,47.9430726,15.65191351,122.179459,0,0,0,8.54294561,0,167.0599349,9.633166218,0,0,0,0,43.07472178,0,0
TT0048,0,0,0,0,0,0,0,0,17.35555649,0,0,0,0,0,0,0,0,0,0,0,0
TT0049,0,0,0,22.53056228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0053,0,0,8.202697316,31.28737034,92.1624753,0,113.3251174,0,0,0,0,0,16.4272507,0,0,0,0,0,0,0,0
TT0059,214.0665218,52.39811479,0,181.3192871,24.87887941,31.18796571,82.59605021,0,77.66531027,56.86116685,41.75022578,0,0,0,0,0,0,0,0,0,0
TT0060,513.7406309,158.923697,278.8089455,2787.00021,69.03781881,0,192.6476459,0,134.9813302,0,142.0008956,0,380.2933717,114.6988194,0,126.5730514,0,0,118.4365863,0,0
TT0061,0,161.3411231,10.1433077,13.249651,167.487956,0,0,0,18.26070414,0,20.36777882,0,0,0,0,0.678338834,0,0,0,0,0
TT0062,189.9142261,236.7370119,0,84.82264541,56.20880498,0,0,0,63.43522649,0,141.547111,0,0,60.72325022,0,0,0,0,0,0,0
TT0063,3.447983607,74.61787161,6.474673854,15.33725363,149.9810423,0,0,0,22.09898507,0,31.93028529,0,0,6.998394788,0,0,0,0,0,0,0
TT0065,111.271006,0,57.08162145,1194.952372,33.00177501,0,143.0036506,0,0,0,79.92363929,0,99.52511405,153.7246564,0,0,0,0,54.3022533,0,0
TT0067,0,0,0,0,0,0,0,0,52.20322417,0,17.38074616,0,0,0,0,0,0,0,0,0,0
TT0069,0,53.89460397,0,13.87202661,16.96022943,0,0,0,20.39337223,0,3.552394133,0,0,0,0,0,0,0,0,0,0
TTS1106,0,40.57993278,0,4.074523099,14.55632107,0,0,0,104.2534354,0,44.70901268,0,0,0,0,0,0,0,0,0,0
TTS1108,0,21.38582768,0,0,324.2569717,0,0,0,50.0730598,0,0,0,0,0,0,0,0,0,0,0,0
TTS1111,8.77924278,21.27923169,40.8026394,152.4799031,23.34102002,0,13.37350181,0,143.5859814,0,0,0,13.4370255,0,0,0,0,0,14.01971589,0,0
TTS1115,0,0,0,0,0,0,0,0,75.92280465,0,0,0,0,0,0,0,0,0,0,0,0
TTS1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTS1118,0,277.8956383,0,0,0,0,67.87499258,0,89.2336131,0,22.53124353,0,0,0,0,0,0,0,0,0,0
TTS1120,0,58.87620382,0,3.705972352,15.87568117,0,0,0,24.37373075,0,0,0,0,0,0,0,0,0,0,0,0
TTS1122,0,0,0,265.8612764,21.63672348,0,0,0,45.51726615,0,0,0,0,0,0,0,0,0,0,0,0
TTS1123,0,91.55117962,0,5.405514603,50.96276019,0,0,0,19.65080825,0,96.46682266,0,0,0,0,0,0,0,0,0,0
TTS1131,82.37276055,0,70.41316019,954.17152,27.46871906,0,141.4589409,0,18.53922439,0,0,0,115.1939379,37.43182075,0,0,0,0,67.5846045,0,0
TTS1134,0,74.83885346,0,161.2850706,37.24267729,0,5.152294456,0,40.04445454,0,23.05342632,0,0,0,0,0,0,0,0,0,0
TTS1141,0,17.43994769,0,10.73252052,60.82597651,0,6.479096377,0,21.54756299,0,0,0,0,0,0,0,0,0,0,0,0
TTS1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTS1149,115.2552031,131.7012451,0,128.0491675,3.831841682,0,33.16082726,0,10.03005905,0,163.3434641,0,0,0,0,0,0,0,0,0,0
TTS1160,0,0,0,43.24939711,0,0,0,0,52.6086809,0,0,0,0,0,0,0,0,0,0,0,0
TTS1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTS1188,0,75.48883313,0,1.437701801,16.83000753,0,0,0,2.406936484,0,12.01731983,5.955679236,0,0,0,0,0,0,0,0,0
TTS1189,0,106.8677175,0,2.732047877,24.48521088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTS1194,0,12.59895807,0,14.64592858,101.4523543,0,0,0,324.2013384,0,0,0,0,0,0,0,0,0,0,0,0
TTS1200,0,36.62729578,0,0,66.82452702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTS1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTS1204,0,36.93257088,5.527649335,7.998517891,48.11474396,0,0,0,12.21711899,0,36.30035901,0,0,0,0,0,0,0,0,0,0
TTS1205,0,32.09031966,0,0,0,0,0,0,51.14527303,0,0,0,0,0,0,0,0,0,0,0,0
TTS1210,0,31.47948425,0,6.330013462,17.45662583,0,0,0,34.84597082,0,0,0.45810057,0,0,0,0,0,0,0,0,0
TTS1212,306.2888841,0,109.5914043,840.6773521,0,0,86.98271469,0,0,0,0,0,157.2760786,0,0,0,0,0,0,0,0
TTS1214,0,108.2065089,0,20.82628238,109.6024485,0,0,0,344.6786506,0,0,0,0,0,0,0,0,0,0,0,0
TTS1223,0,0,0,99.96696823,0,0,0,0,44.78534462,0,0,0,30.39917609,0,0,0,0,0,0,0,0
TTS1263,0,0,0,0,0,0,0,0,28.29049514,0,0,0,0,0,0,0,0,0,0,0,0
TTS1272,0,22.78810256,0,0,24.54111293,0,0,0,45.08459755,0,0,0,0,0,0,0,0,0,0,0,0
TTS1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTS1320,0,121.4421648,12.18877015,68.33545874,111.0764426,0,0,0,44.75186682,0,17.88345997,0,0,0,0,11.12398854,0,0,0,0,0
TTS1330,0,0,0,116.9922479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
