,ANT(9)-Ia,tet(L),tetO,catQ,AAC(6')-Ic,MexB,AAC(6')-Ie-APH(2'')-Ia,ErmF,ErmT,ErmC,ErmX,tet(K),MexC,MexD,OprJ,SAT-4,ceoA,ceoB,APH(6)-Id,opcM,rosB,ANT(2'')-Ia,acrB,Escherichia coli acrA,kdpE,msbA,mdtH,ugd,mdtA,mdtB,mdtC,yojI,emrR,bacA,acrS,acrE,mdtM,SHV-16,tet(J),CfxA2,tet(G),smeA,smeB,smeC,smeS,smeR,AAC(6')-Iy,aadA2,farA,farB,mtrD,mtrC,Mef(En2),ErmB,ACC-3,cmx,TriA,TriB,TriC,OprM,fosA,PmpM,Pseudomonas aeruginosa soxR,MexE,MexF,OprN,OpmB,MuxC,MuxB,MuxA,arnA,mexK,mexJ,mexL,ArmR,mexG,mexH,opmD,mexV,mexW,OpmH,Pseudomonas aeruginosa emrE,AAC(3)-Ia,IND-3,mphB,dfrA16,patB,patA,pmrA,mefE,adeB,sdiA,aadA10,sul2,mel,Streptococcus agalactiae mprF,tet(A),tet37,dfrC,lsaA,Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin,Enterococcus faecium chloramphenicol acetyltransferase,catB2,oqxA,oqxB,OXA-85,tet(41),OXA-50,norA,TEM-126,aad(6),mepA,tet(38),macA,macB,Staphylococcys aureus LmrS,tet(39),adeJ,adeK,lnuC,qacH,arlS,Enterobacter cloacae acrA,APH(3'')-Ib,Acinetobacter baumannii AbaF,mecR1,mdtG,aadA13,PC1 beta-lactamase (blaZ),OXA-114a,FosA2,dfrA27,arr-3,aadA16,tet32,Acinetobacter baumannii AbaQ,adeI,aadA12,PDC-8,Acinetobacter baumannii AmvA,CfxA6,ANT(4')-Ib,hmrM,Bifidobacteria intrinsic ileS conferring resistance to mupirocin,lsaC,sul1,CTX-M-110,CrpP,tetA(46),tetB(46),ACT-10,basS,Escherichia coli mdfA,ramA,GES-21,catB3,mecA,APH(3')-IIIa,adeN,ANT(6)-Ia,Chryseobacterium meningosepticum BlaB,MIR-14,RlmA(II),FosA5,AAC(6')-Ib7,adeL,bcr-1,gadW,tetA(60),tetB(60),qnrE1,lmrD,mphA,emrK,emrY,Staphylococcus aureus norA,marA,baeS,baeR,emrA,SRT-1,mexX,mexY,mphC,H-NS,evgA,cpxA,mgrA,mepR,emeA,tet(B),mexM,mexN,mexP,mexQ,opmE,gadX,mdtE,CRP,mdtP,mdtO,mdtN,eptA,pgpB,Klebsiella pneumoniae KpnE,Klebsiella pneumoniae KpnF,Escherichia coli ampH,CTX-M-137,Klebsiella pneumoniae OmpK37,tetW,catI,msrA,catS,mupA,APH(3')-IIb,mtrE,tetQ,BRO-2,L1 beta-lactamase,smeD,smeE,smeF,Klebsiella pneumoniae acrA,Erm(33),aphA15,APH(3')-Ia,fusC,amrA,IND-6,aadA6,adeF,SHV-100,tetM,dfrA22,Escherichia coli ampC1 beta-lactamase,efrB,ICR-Mc,OprZ,AxyX,Klebsiella pneumoniae KpnG,Staphylococcus aureus FosB,dfrE,MexA,Pseudomonas aeruginosa catB7,mexI,Escherichia coli ampC,Corynebacterium striatum tetA,Pseudomonas aeruginosa CpxR,arlR,MCR-9,efrA
DU0004,0,0,8.56836425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.591209837,0,0,0,0,0,17.44514727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4759766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0005,0,0,8.228000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.13700097,60.08368712,41.56322674,0,0,0,0,0,7.633058434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.78918118,136.9956363,0,0,0,0,0,0,0,0,0,0,0,0,23.97768969,0,0,0,0,0,8.718704944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29401973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.761852474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0010,0,0,21.96877405,0,0,0,0,3.50161189,0,0,18.30050592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.858430652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.15980979,35.05728376,39.52400713,0,0,0,0,0,32.78325026,0,0,0,0,0,0.589913692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912319564,0,0,0,0,0,0,0,266.0637287,0,4.883352214,0,0,0,11.87133262,21.4904635,0,0,0,0,0,0,0,0,0,0,0,0,20.378042,0,0,0,0,0,0.945708943,0.654532033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449108889,0,0,0,0,0,0,0,0,0,0,21.81077878,0,0,0,0,0,0,3.400678928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.06515837,0,0,0,0,0,0,0,0,0,27.92454431,28.67910879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.31143039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.45684488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.77690341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.92574345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805310441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.44641526,36.54868809,21.51475716,0,0,0,0,0,7.555156569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.34551394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.55815967,0,0,0,0,0,1.775328257,3.499745501,0,0,0,0,0,0,0,0,0,0,0,0,8.745119145,0,0,0,0,0,2.817413154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.550988123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.0470376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764399224,0,0,0,0,0,2.230809417,0,0,0,0,0,0,0,0,1.416891897
DU0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.732474269,0,0,0,0,0,0,0,0,3.442005236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.464948538,0,0,0,0,0,85.83045776,119.7068066,90.02619515,0,0,0,0,0,27.00708819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.44350935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.58567828,0,0,0,0,0,0,0,149.6082875,0,3.459653064,0,0,0,3.620207335,3.256559597,0,2.963246464,0,0,0,0,0,0,0,0,0,0,14.53239165,0,0,0,0,0,1.732474269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.790076924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16018828,0,0,0,0,0,0,0,44.61067139,0,0,0,0,0,0,0,0,0,0,22.10093337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0034,0,0,0,0,0,9.168340851,0,0,0,0,53.99141686,0,18.82261861,6.872677057,5.594964133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.430004281,2.084292361,0,10.26570138,0,0,18.8572267,10.20766655,11.74476953,27.66701782,9.092211916,11.52230962,12.19894829,13.16967126,11.12125718,33.43012875,9.372913711,32.21541729,10.51695007,7.929392351,7.109378396,18.53983451,8.060561638,12.29380895,9.119937021,23.33040829,11.6999663,20.11398522,7.049383104,16.16440564,30.06617618,15.54176973,0,0,0,0,53.78931169,52.16093965,33.35823041,0,0,0,0,0,7.687964883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29955282,0,0,0,1.764492996,1.916848043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79665259,0,0,0,2.320266663,0,0,0,0,0,9.477384146,9.185220926,0,20.80177005,0,0,0,0,0,0,0,0,0,0,11.24844585,0,0,0,11.67907366,0,2.430004281,2.140551133,0,0,0,0,0,0,0,0,0,0,0,0,20.82640935,0,0,0,0,0,0,0,3.218170288,8.208861448,9.496885253,5.502091691,8.184931527,7.958864929,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56148073,0,0,0,0,12.42484737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86030035,0,0,0,0,0,0,0,0,0,11.78708989,3.988799967,22.70693539,0,0,10.03377827,0,0,0
DU0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718.2263758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.5114607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.2277788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.9308398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0047,0,0,0,0,0,94.3731101,0,0,0,0,0,0,64.13137855,41.62913378,63.61773629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.41272353,100.7285526,133.1385944,43.22155893,79.06038931,84.39013505,34.82549609,56.39985563,110.5307869,77.81304234,21.07684796,9.407592941,97.57843904,94.05836203,90.48308291,70.92012345,87.87937383,152.1325261,0,0,155.2096408,65.25621145,57.71903779,48.66942689,49.74432853,76.8635721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.36015933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.7904674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.18066263,50.94741938,0,0,0,0,0,0,0,0,78.26310583,98.33721459,36.66536369,70.50801426,77.49934387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.10878153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.14483359,65.55670596,75.16375955,0,0,123.6953603,0,0,0
DU0058,0,0,1.253782733,0,0,0,0,0,0,0,75.73381994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.496936869,0,0,2.335884455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.69267931,41.86013667,39.55094258,0,0,0,0,0,16.17069068,0,0,0,0,0,0.594983486,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129361546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.202205078,0,0,0,0,0,0,0,0,0,0.881945529,0,0,0,5.407587451,14.58158129,0,0,0,0,0,0,0,0,0,0,0,0,12.34245854,0,0,0,0,0,7.124842304,2.609789042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.402542912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.44915829,0,0,0,0,0,0,1.898347001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.861280578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0059,0,0,2.012182292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.877138257,2.013522654,1.006761327,0,0,3.347352263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.3655678,150.4650669,96.00205016,0,0,0,0,0,14.02757871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.612142939,0,0,0,0,0,0,0,47.52658922,0,0,0,0,0,13.4656659,23.47028128,0,0,0,0,0,0,0,0,0,0,0,0,83.0681678,0,0,0,0,0,1.917654922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.206703156,0,0,0,0,0,0,0,6.120966714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.387890432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0063,0,0,5.566978866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.263089471,0,0,0,0,0,0,0,0,0,0,3.236203312,5.876962626,0,6.7912989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.70582122,47.35504173,44.08566997,0,0,0,0,0,8.67071895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.064943164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56165642,0,1.835008278,0,0,0,3.769756144,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92547988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0064,0,0,4.643371565,0,0,6.94933366,0,0,0,0,0,0,7.571857112,27.24333398,7.51998108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57638878,0,0,31.24810528,17.3611761,19.91234638,11.73916963,20.97005852,19.07277991,0,32.72248232,54.55302364,29.11897083,11.71952666,3.469664205,21.77017047,4.994907455,33.44230945,24.0548694,23.86306503,46.13037777,0,39.90504515,26.17447907,19.39347812,22.45731782,24.81523866,14.45423847,0,0,0,0,0,14.90569188,33.61730693,14.32143728,0,0,0,0,0,10.95282291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.4350228,0,0,0,0,0,17.4179852,12.67774036,0,17.76581427,0,0,0,0,0,0,0,0,0,0,14.95542041,0,0,0,29.44393466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.30096094,19.19494743,0,0,0,0,0,0,0,0,21.29864584,40.76731402,26.11619187,5.249554568,22.38981855,0,0,0,0,0,0,0,0,0,0,0,0,0,38.61557622,0,0,0,0,19.67795694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.25511694,0,0,0,0,0,0,0,0,0,29.3749861,30.84701301,32.27228185,0,0,28.22419892,0,0,0
DU0071,0,0,21.81087517,46.61778014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60673786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9690994,62.20404642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0074,0,0,0,0,0,0,0,0,0,0,79.79718907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.40678469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.94486851,46.09040737,0,0,0,0,0,5.893904759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.658673994,0,0,0,0,0,0,0,0,0,0,0,0,0,20.30960886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0076,0,0,25.3314456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74809194,44.72029238,36.30570348,0,0,0,0,0,11.63641791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3771375,27.85558978,0,0,13.64954301,0,0,0,0,0,6.950013372,0,0,0,0,0,0,25.39858166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.250094551,0,0,0,0,19.50493734,28.62842839,0,0,0,0,0,0,0,0,0,0,0,0,9.343694961,0,0,0,0,0,13.41458381,0,0,0,0,0,0,9.23803493,0,0,0,0,0,0,0,0,0,0,0,7.021121725,33.41860669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.5750235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93387215,0,0
DU0077,0,0,67.98636888,0,0,0,0,0,0,0,98.17676834,0,0,0,0,9.299154834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.93888004,22.42516908,15.18144189,0,0,0,0,0,21.40548973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.80282446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.510233839,0,0,0,0,0,0,0,0,0,2.62502028,0,0,0,32.7958525,56.55363266,0,0,0,0,0,0,0,8.389247015,0,6.00628218,0,0,27.89487267,0,0,0,0,0,7.588491585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.98244525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.21464705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0087,0,0,16.04751957,0,0,0,0,18.2065672,0,0,53.79222121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.834927689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.503675827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.511027481,4.511027481,0,0,0,0,0,0,14.96035565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.012701373,0,0,0,0,0,0,0,186.9200703,0,2.735000419,0,0,0,11.88987145,31.24829704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.503675827,1.503675827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.9036541,0,0,0,0,0,0,6.343409925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
