Class	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	Ex	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	Ex	Ex	NonEx	Ex	FreqEx	NonEx	FreqEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	FreqEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	NonEx	Ex	FreqEx	Ex	Ex	NonEx	NonEx	FreqEx	NonEx	FreqEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	FreqEx	Ex	FreqEx	FreqEx	FreqEx	FreqEx	Ex	Ex	FreqEx	FreqEx	FreqEx	Ex	FreqEx	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	Ex	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	NonEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	Ex	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	NonEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx
Listeria	0	0	2	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	6	9	0	3	0	0	2	3	0	1	0	5	8	2	3	2	7	11	4	0	2	4	1	390	2	0	0	2	3	0	0	3	1	7	3	1	0	4	9	0	1	3	9	1	4	0	2	1	9	6	0	2	3	3	0	4	1	2	0	0	2	0	0	0	5	3	4	0	4	0	2	1	0	1	5	1	0	3	0	0	0	0	1	5	0	5	2	0	3	1	1	0	2	1	3	0	0	0	0	1	0	1	0	2	3	1	2	2	3	0	0	1	0	0	4	2	1	4	0	5	0	1	0	0	0	0	3	2	9	2	0	1	2	0	0	0	0	2	12	0	0	0	4	0	5	2	0	0	2	0	0	0	0	0	13	0	1	0	0	2	0	0	8	0	1	0	0	4	1	4	1	0	0	1	4	0	1	0	3	0	2	1	9	0	4	2	1	3	1	0	0	0	0	3	5	6	0	5	4	5	3	5	0	2	4	7	0	1	1	5	5	0	2	0	5	0	1	0	0	5	3	4	3	1	7	0	0	2	0	3	0
Gemella	5	7	5	1114	860	5	352	3	10	7	6	2	26	0	1506	4	1	509	28	0	602	561	12	503	51	15	2360	1199	1321	71	8	2460	1653	701	741	6	295	1510	778	2	179	250	600	41	62	38	6	16	169	13	86	17	83	363	12	3	429	611	3383	27	178	32	60	152	1156	1103	1	221	11	532	8	4	1414	8	17	1932	1451	6	1	6	14	2	6105	6	98	10	6	2	3	12	265	3	100	1	1148	0	7	3	6	31	0	4	2	586	11	730	1031	9	347	739	9	24	83	146	157	740	7	13	573	1760	2	312	6	7	1211	45	1663	6	124	160	32	176	209	25	1706	236	1114	2241	48	75	309	1276	127	109	296	6	899	397	728	0	264	0	70	3	15	409	48	1	77	14	27	407	748	148	1210	0	21	16	17	6	2	88	28	6	653	5	0	32	19	407	2	300	1467	450	2887	8	0	358	62	19	17	78	0	935	695	1052	336	1	2754	81	935	742	654	4	118	73	79	86	30	6	4	305	336	241	46	1543	428	198	179	446	832	924	99	52	165	688	116	115	5	740	336	1	76	21	1	151	3	851	167	0	386	319	290	2	2448	67	391	80	15	32	0
Staphylococcus	0	0	4	499	114	0	13	4	10	4	6	0	12	10	19	0	5	5	2	4	25	28	5	5	5	2	20	15	8	6	2	35	28	19	13	17	5	723	14	0	6	16	17	694	11	9	5	5	7	5	101	4	10	8	10	10	15	14	24	16	1232	8	8371	15	9	9	10	6	39	24	14	2	11	2	6	4	26	356	116	11	27	1	20	6	61	37	4	13	9	5	10	12	8	1	10	19	0	4	6	17	1	4	1	20	2	14	7	6	5	7	1	5	12	5	10	15	6	1	19	20	2	3	9	7	25	17	4	7	296	10	6	427	10	0	31	28	11	35	2	43	13	10	5	0	5	13	42	18	15	7	22	0	6	14	0	13	3	0	29	27	1	171	227	9	15	4	10	1	0	3	0	1	10	4	49	394	0	3	3	8	3	22	37	16	15	4	1	8	10	2	0	6	0	12	12	12	4	4	16	1	93	6	30	4	1	5	5	0	6	11	2	8	10	7	908	110	8	3	47	21	25	27	10	5	36	7	1	5	8	25	22	8	5	1	0	0	11	29	29	2	6	7	5	5	30	2	16	26	3	2034	0
Abiotrophia	0	0	0	8	7	0	0	0	0	5	0	0	0	3	1	0	0	25	2	0	93	0	8	0	7	2	1	0	74	2	0	104	2	29	8	1	5	2	2	0	0	0	17	0	0	2	0	0	5	0	4	10	0	0	0	0	9	9	994	0	8	0	1	0	11	0	0	0	758	772	0	0	1	116	0	2	1	0	0	0	761	0	61	32	1	1	98	0	96	0	0	5	46	3	0	25	0	2	0	0	0	0	0	13	0	2	66	0	0	71	0	0	0	0	0	0	4	0	0	34	0	0	0	0	201	0	0	0	0	0	0	0	2	0	3	0	1	111	0	370	8	30	40	35	20	1	15	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	7	0	0	4	10	0	0	0	1	0	0	15	3	65	1	0	2	0	0	4	5	0	0	10	5	0	0	2	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	1	5	34	175	0	0	18	1	17	17	0	0	2	0	0	0	0	4	0	0	2	0	27	0	2	0	6	4	1	2	0	49	0
Dolosigranulum	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	28	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	1	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0
Lactobacillus	2	0	7	6	3	0	3	6	2	0	0	4	8	2	5	0	0	2	1	2	31	3	0	1	5	0	1	0	0	0	1	10	3	9	4	6	1	0	8	6	2	6	8	0	1	0	0	0	0	0	0	2	0	2	0	0	1	6	5	0	2	0	1	3	6	6	0	1	6	3	13	0	36	0	0	1	4	0	0	0	191	0	3	0	1	10	0	788	1	1	20	11	1	7	1	23	0	0	9	0	0	0	3	3	0	0	1	2	0	0	1	0	0	4	3	7	1	3	3	2	1	0	0	0	3	2	7	1	22	0	0	10	0	0	35	1	2	2	0	13	1	4	0	0	5	0	13	0	10	0	2	1	0	0	6	0	0	3	371	50	0	0	9	0	2	10	4	0	4	3	0	2	0	0	6	0	0	1	0	0	0	0	6	3	1	0	0	3	0	0	5	1	0	0	12	0	1	1	13	1	8	2	5	0	0	0	2	10	0	0	0	0	0	4	104	7	0	0	242	5	100	2	0	0	1	0	3	14	0	0	3	0	0	0	0	0	3	3	0	4	6	5	4	0	3	1	0	2	0	595	0
Leuconostoc	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	6	1	0	0	0	0	0	2353	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Lactococcus	0	0	0	4	1	0	11	0	0	0	0	0	8	0	12	0	0	0	0	0	2	11	2	9	0	0	3	3	4	1	0	6	33	3	0	11	6	2	6	0	4	6	3	4	1	0	0	0	0	0	2	0	0	2	0	0	0	8	3	0	0	0	4	0	2	0	0	0	6	6	6	0	4	0	0	2	3	2	0	0	8	0	13	0	37	5	1	0	3	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	5	3	0	0	2	0	0	0	2	5	0	0	0	6	2	0	0	0	0	3	11	5	0	15	0	1	24	0	2	2	0	3	7	0	1307	5	4	6	0	3	0	11	0	5	1	4	0	0	0	0	104	1	0	10	7	0	0	0	0	1	0	0	0	1	2	0	1	0	0	5	0	0	0	0	1	0	2	3	0	5	0	0	0	0	0	0	0	0	9	8	5	2	0	8	0	4	4	0	0	0	0	0	0	0	0	1	1	2	4	9	3	2	0	15	7	4	313	0	0	0	5	0	2	0	4	19	0	2	0	0	0	4	10	0	0	2	0	5	0	21	0	0	0	0	168	0
Streptococcus	20	32	11	2325	1271	9	3460	524	21	15	6	14	4832	14	5452	23	22	871	189	49	3723	8910	146	5009	111	110	2161	5901	3519	311	64	4657	12023	3956	3071	2041	2717	5495	6668	216	2209	4115	1900	125	228	124	61	104	881	104	278	88	273	951	45	17	728	3572	6078	138	389	48	149	340	2458	431	34	166	975	10410	2385	31	3726	316	73	3491	6459	48	29	16	2645	9	2631	42	11898	7293	1017	219	2779	66	2850	1093	632	47	2385	14	15	16	387	13	6	13	13	4536	52	3461	1171	78	522	3593	89	95	643	1088	1506	1452	27	94	4800	8515	39	439	52	99	6063	1161	780	44	6457	234	227	3711	1471	61	8384	574	1497	7598	104	2842	1858	2228	503	222	2148	17	6862	710	8265	7	311	22	380	65	134	4571	163	316	7242	237	85	345	1087	382	2628	67	39	107	880	104	18	538	694	89	11286	270	107	221	96	1137	23	2872	3780	336	3042	68	8	1981	620	42	39	385	12	2905	6036	1747	1543	9	6514	112	8076	2618	5594	11	72	393	345	819	311	24	204	1325	591	3852	3564	2957	284	643	6998	5467	1869	2994	726	20	1757	2366	754	1521	694	2881	4278	25	285	205	11	361	2490	6884	741	102	1175	1012	2922	27	10876	396	425	1005	70	2724	45
Clostridium	0	0	0	2	2	0	0	0	6	0	0	0	3	0	2	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	5	4	0	0	0	2	3	3	0	1	1	1	1	2	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	4	0	0	1	3	2	0	0	1	2	0	0	6	0	0	3	5	0	0	0	7	0	2	0	6	0	0	8	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	1	0	0	0	0	0	3	2	0	0	1	0	1	1	9	0	43	0	1	1	0	2	4	1	6	5	3	1	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	5	0	1	61	0	0	0	4	0	1	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	4	1	5	2	0	0	0	0	2	2	0	0	3	0	0	4	0	2	1	0	2	4	1	0	0	0	2	1	1	2	0	1	5	0	1	0	0	3	11	3	1	0	3	4	3	0	2	0	0	8	0	5	0
Mogibacterium	0	0	0	47	6	0	4	0	0	0	0	0	30	0	27	0	0	7	5	0	0	11	0	127	0	0	15	7	1	0	0	31	143	80	70	0	125	106	84	0	289	56	3	0	5	0	0	14	6	7	3	0	5	11	1	0	0	11	22	0	15	0	0	14	82	363	2	36	0	61	0	1	128	0	0	41	200	0	0	0	265	0	33	0	0	0	37	0	9	1	0	11	77	2	11	0	0	0	2	0	0	0	0	56	1	13	254	1	10	15	2	1	0	0	3	0	0	0	80	10	0	17	0	2	15	1	1	0	0	16	11	32	4	3	0	8	67	49	2	4	57	3	0	6	2	0	66	84	7	0	5	0	17	1	0	0	9	89	2	2	0	0	0	17	45	0	0	0	21	0	4	0	0	24	32	0	0	5	0	2	0	14	58	2	3	1	0	29	1	0	0	5	0	56	4	0	24	0	30	0	118	37	3	3	0	7	2	12	10	0	3	43	0	196	34	731	0	0	2	7	49	5	6	0	22	202	52	17	0	22	35	0	90	0	0	148	285	16	0	2	172	140	167	0	7	0	2	36	0	1	0
Filifactor	0	0	0	1	1	0	0	0	0	0	0	0	0	0	112	0	0	15	1	0	0	0	0	1	0	0	0	0	0	0	0	0	123	0	0	0	1	0	0	0	0	0	16	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	1	1	7	0	1	0	0	3	0	0	0	0	0	0	115	0	3	0	43	0	0	0	0	0	74	0	0	0	0	0	0	0	4	0	57	2	0	0	0	0	1	0	0	0	0	1	0	111	0	0	34	14	0	5	2	0	0	0	0	0	7	22	0	60	0	0	21	0	6	0	0	0	12	0	0	549	2	0	11	0	1	0	61	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	35	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	16	0	0	85	17	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	27	0	0	0	0	2	0	0	0	0	0	0	1	0	64	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Veillonella	0	0	0	175	62	3	20	9	1150	0	0	0	1552	0	352	0	0	21	14	5	207	71	31	135	19	23	37	30	161	2	2	231	48	132	268	41	75	170	117	53	202	174	108	9	62	6	0	17	67	14	8	11	33	99	3	0	131	164	1350	8	227	4	2	75	264	401	0	52	489	488	296	0	245	100	14	179	172	4	1	2	1471	0	49	84	126	890	44	539	663	4	234	165	211	6	39	13	0	2	11	0	0	0	0	627	7	178	781	9	34	56	2	7	57	9	422	140	0	4	452	229	2	126	1	13	121	226	708	5	1161	69	30	738	93	8	146	45	265	292	8	81	672	101	32	29	347	1	393	160	77	1	29	6	23	7	14	20	35	863	17	2	86	0	123	63	277	13	10	30	161	7	0	42	139	43	472	7	20	2	2	55	2	239	53	12	18	12	0	96	35	0	11	21	0	105	306	24	419	3	875	0	1164	464	153	2	50	37	32	125	14	12	0	80	14	826	467	920	34	2	438	1568	1293	102	110	17	187	931	116	1444	17	217	1384	0	100	7	1	201	914	194	244	76	1117	532	416	5	392	23	23	394	22	986	12
Parvimonas	0	0	0	53	7	0	0	0	0	0	0	0	31	0	118	0	0	18	0	0	0	0	2	51	0	0	12	2	28	7	0	71	111	0	51	0	42	96	1	0	17	2	118	1	3	2	0	4	9	14	10	0	0	13	0	0	9	11	3	23	19	1	12	0	112	26	10	14	1	1	2	1	102	9	64	28	35	0	0	0	6	0	19	0	1	0	16	0	10	0	2	0	60	2	0	0	0	0	0	0	0	0	0	18	0	14	9	0	10	9	0	3	0	0	5	0	0	17	10	71	0	5	0	0	28	2	2	0	1	4	2	41	1	270	3	2	22	3	0	9	56	36	88	12	0	0	49	0	64	0	5	0	9	1	0	0	0	9	0	1	0	0	0	26	20	0	0	3	21	10	0	0	7	0	33	43	0	202	0	16	0	6	49	9	27	0	0	3	0	0	0	2	0	0	2	0	1	0	10	119	9	9	5	0	0	0	0	0	0	0	133	5	2	0	19	57	0	0	16	135	177	29	0	0	22	10	4	2	0	26	17	0	1	0	0	0	0	24	0	0	2	73	44	0	11	15	4	0	0	55	0
Fusobacterium	0	0	6	354	300	0	28	2	32	0	0	0	71	0	314	0	0	59	14	2	7	14	3	44	5	8	8	6	62	6	0	51	22	99	58	0	78	28	3	5	30	58	44	25	48	32	0	24	50	115	82	1	36	250	2	1	55	121	5	428	63	50	9	44	324	1685	544	63	9	3	0	0	497	0	60	498	311	1	0	0	37	0	136	0	0	0	1	2	4	13	20	0	378	27	45	1	0	0	3	4	0	0	0	284	2	705	537	3	228	223	0	27	19	0	20	1	5	21	244	283	0	242	2	19	156	9	4	0	7	241	27	209	18	3055	117	108	1739	320	20	56	746	223	23	8	83	0	128	26	99	1	23	0	36	0	0	0	2	9	2	13	3	0	10	56	206	0	10	4	90	34	0	4	5	0	359	40	0	2452	3	1198	0	296	345	73	182	0	0	32	2	0	1	2	0	76	74	17	51	0	44	1071	95	272	19	2	0	1	62	14	2	5	3035	83	64	82	1099	816	25	4	65	424	627	68	0	0	36	281	23	146	0	53	24	0	2	1	0	180	45	174	0	0	534	101	109	0	211	5	20	16	0	199	1
Leptotrichia	0	0	0	92	160	0	3	0	0	0	0	0	114	2	342	0	0	21	1	4	1	0	4	186	4	2	0	1	10	7	0	47	27	117	125	2	5	8	7	0	941	10	28	5	61	3	0	3	90	0	8	0	36	139	0	5	49	8	1	9	82	2	0	19	171	25	4	213	2	33	0	0	249	18	49	201	449	0	0	0	368	0	52	4	0	14	1	60	5	10	334	10	210	6	7	0	0	2	27	0	0	0	0	275	1	126	751	9	109	82	7	6	35	12	228	1	3	8	7	127	2	103	1	0	190	34	3	5	592	149	27	24	273	5	8	6	111	420	2	12	145	6	4	0	123	0	24	0	6	0	1	0	0	0	0	0	0	42	0	1	6	0	0	11	121	0	0	0	35	0	0	11	20	27	26	9	0	4	3	30	0	812	34	8	32	1	0	45	2	0	6	37	0	163	166	11	12	0	603	1	558	852	26	0	0	49	4	22	3	0	3	53	1	1389	340	101	6	1	105	73	1535	7	66	0	144	991	3	39	0	6	219	0	82	2	0	109	986	437	0	0	781	50	600	1	254	4	25	95	0	1	3
Acetobacter	0	0	0	2	11	0	0	0	3	5	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	4	1	0	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	0	1	6	0	0	0	0	1	0	0	2	2	0	0	2	0	0	1	1	0	3	0	1	0	1	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	0	4	0	1	3	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	2	0	2	3	1	1	0	0	1	0	8	1	0	1	1	2	0	0	3	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	1	0	0	2	0	9	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	1	1	1	0	0	3	2	1	4	0	0	4	0	0	0	0	9	6	3	0	0	3	3	3	0	0	0	3	0	0	1	0
Pararhodospirillum	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	1	0	2	1	2	0	0	0	0	0	2	0	0	3	0	0	1	0	4	2	0	0	2	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	6	0	0	0	4	3	1	0	4	0	1	3	0	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	6	0	1	0	2	0	0	0	0
Achromobacter	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	284	0	9	0	0	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	337	283	0	0	0	0	0	0	0	1	0	0	0	6	940	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	51	4	1	0	0	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Burkholderia	0	0	0	3	5	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	1	3	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	63	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	2	0	203	0	0	0	9	0	0	0	2	0	0	0	0	8	0	0	2	0	0	0	6	2732	0	10	2	0	0	1	3	5	0	1	2	0	0	11	0	1	0	0	16	0	0	0	0	5	1	0	5	0	7	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	1	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	3	0	0	2	0	5	0	0	1	2	3	1	0	2	0	5	2	0	0	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	5	0	1	0	2	0	0	0	0
Cupriavidus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	78	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	14	0	1	6	0	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Lautropia	3	0	0	8	70	0	0	0	0	0	0	0	0	0	423	0	0	107	20	0	363	0	7	44	8	2	5	0	114	2	0	1	14	18	108	0	22	4	0	0	13	2	23	1	8	0	0	3	7	0	3	40	20	16	2	0	0	116	0	0	9	1	0	16	35	0	1	0	1	5	0	0	25	0	0	0	203	0	0	0	95	0	61	0	0	0	47	0	0	3	1	24	168	30	2837	0	0	1	0	0	0	0	0	14	25	1	58	3	6	74	21	1	0	9	90	0	0	12	1	200	5	11	0	9	46	22	0	0	1	0	22	44	42	1	0	1	14	64	0	701	40	6	53	26	17	0	9	0	114	0	23	0	4	1	0	0	0	4	0	5	0	0	0	1	36	0	1	0	0	0	0	3	166	0	0	0	0	32	4	20	0	87	4	13	239	0	0	39	0	0	0	3	3	170	180	11	425	0	0	0	8	0	182	0	0	0	46	0	2	0	10	0	0	0	0	65	28	0	39	0	102	135	0	13	19	20	8	2	0	4	961	0	7	0	0	26	4	0	0	0	368	27	485	0	23	4	40	3	0	52	2
Eikenella	0	0	0	26	101	0	0	2	0	0	0	0	0	0	13	0	0	10	0	0	0	0	0	2	0	25	84	0	28	1	0	68	1	6	6	0	0	3	0	0	0	3	4	3	2	1	0	0	1	0	6	0	0	13	0	0	6	9	7	0	6	0	2	1	35	3	0	4	1	7	0	0	21	0	11	11	3	0	0	10	6	0	36	0	0	10	3	0	0	0	9	44	33	4	99	0	0	3	1	0	0	0	0	32	0	32	60	2	0	67	0	1	0	0	9	0	0	0	1	37	0	3	0	1	31	3	1	0	1	4	2	11	3	0	7	5	101	19	1	8	11	27	2	0	14	0	12	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	29	0	0	16	357	0	0	0	4	0	7	0	0	3	0	23	0	16	5	7	31	0	0	5	0	0	0	0	0	4	9	0	17	0	2	1	2	34	15	3	0	0	7	5	0	0	0	8	1	0	0	11	4	0	4	3	20	18	0	0	0	7	0	7	0	0	95	0	2	3	0	20	4	0	0	0	4	0	57	0	3	15	3	0	0	3	0
Kingella	0	0	0	2	11	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	1	1	0	4	0	0	2	0	0	8	0	0	0	3	0	0	0	3	0	1	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	38	0	2	0	0	0	0	0	0	1	9	0	0	0	0	11	0	0	0	0	3	0	0	0	0	2	4	21	2	0	0	502	3	2	0	5	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	211	0	1	1	0	26	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	3	3	0	0	0	0	0	3	0	0	0	6	0	0	1	1	1	0	0	0	6	0	0	0	0	4	0	0	0	0	5	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
