Class	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	Ex	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	Ex	Ex	NonEx	Ex	FreqEx	NonEx	FreqEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	FreqEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	NonEx	Ex	FreqEx	Ex	Ex	NonEx	NonEx	FreqEx	NonEx	FreqEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	FreqEx	Ex	FreqEx	FreqEx	FreqEx	FreqEx	Ex	Ex	FreqEx	FreqEx	FreqEx	Ex	FreqEx	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	Ex	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	NonEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	Ex	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	NonEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx
Atopobium	0	0	0	15	0	0	2	0	0	0	0	0	50	0	26	0	0	9	25	0	25	39	4	19	0	7	7	1	6	1	0	42	17	73	26	1	31	77	20	11	70	41	5	0	1	0	0	0	4	0	0	0	1	13	0	0	13	7	72	1	31	0	0	7	27	12	0	11	21	35	0	0	53	13	7	16	42	1	0	54	323	0	24	20	3	2	11	54	80	31	0	1	72	3	3	0	0	0	1	0	0	0	0	32	0	26	97	0	3	10	0	0	5	2	20	4	2	0	24	6	0	7	1	0	8	12	25	0	40	4	7	119	9	1	20	2	13	57	3	29	39	3	0	0	1	0	75	10	1	0	8	0	1	0	0	0	0	47	0	1	21	0	8	3	34	0	8	0	3	7	0	1	2	6	16	3	0	0	0	2	0	6	1	1	2	0	0	2	0	0	0	6	0	5	6	0	43	0	24	0	162	17	6	0	1	12	0	7	1	0	0	25	2	75	12	98	0	2	106	67	27	5	26	1	10	72	20	66	0	22	28	0	4	2	0	47	118	4	0	3	320	56	38	0	13	0	4	54	0	86	4
Olsenella	0	0	0	0	1	0	0	0	0	0	0	0	36	0	21	0	0	9	0	0	0	0	0	1	0	0	3	0	2	15	0	0	0	8	0	0	0	76	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	2	0	0	0	4	0	0	0	0	0	0	0	150	0	396	0	94	0	0	0	53	0	6	0	0	0	5	0	2	0	0	0	36	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	1	4	75	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	13	0	3	0	3	1	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	24	9	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	21	12	49	1	0	0	2	7	0	3	0	12	33	0	1	0	0	0	5	9	0	0	40	2	10	0	2	0	0	0	0	0	0
Bacteroides	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	54	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	5	1	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	212	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	1	0	0	0	0	2	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0
Porphyromonas	0	0	0	10	45	0	0	0	0	0	0	0	7	0	27	0	0	80	3	0	0	2	0	0	1	1	27	5	3	0	0	5	39	10	14	0	0	6	0	0	6	3	0	2	0	6	0	1	13	0	0	3	0	9	0	1	3	0	13	8	2	0	0	0	142	61	257	1	7	2	0	0	825	0	6	2	268	0	0	2	9	0	3	10	0	0	17	25	8	0	6	5	615	59	1	0	0	0	0	0	0	0	0	12	4	349	18	1	4	7	7	10	0	0	30	2	0	19	1	14	1	1	0	0	125	10	34	0	1	11	20	612	2	12982	4	4	89	1	1	2	21	6	0	0	0	0	11	0	4	0	0	0	1	0	0	0	0	0	0	6	0	0	0	5	6	0	0	3	0	2	0	0	0	0	0	0	0	10743	6	18	0	11	600	58	1	0	0	4	0	0	0	0	0	1	20	4	0	0	4	2864	11	13	2	0	0	0	1	0	0	0	13764	2	1	12	9	17	1	2	2	13	8	3	2	0	2	15	0	15	0	5	8	0	1	0	0	2	5	3	0	0	14	0	5	0	6	0	2	4	0	9	0
Prevotella	0	3	0	758	358	14	23	0	21	4	0	0	156	3	4616	0	11	129	44	7	175	16	74	24	28	25	63	5	30	31	0	212	39	883	271	38	68	93	148	3	491	64	164	17	86	6	2	42	87	6	15	0	94	106	1	3	101	100	614	62	143	14	3	76	472	830	1	268	432	697	99	1	886	17	69	631	596	0	0	79	382	0	179	130	5	222	298	1581	2201	33	366	172	612	26	136	0	0	6	0	1	0	4	0	526	9	408	2252	41	125	200	30	46	51	11	364	37	9	14	1335	405	0	125	6	22	406	310	434	13	613	406	136	1039	108	107	337	315	1201	773	55	68	2189	164	75	8	153	3	713	270	125	3	29	0	34	2	1	2	8	58	3	10	75	0	6	148	637	1	2	17	181	51	0	49	27	52	311	288	1	104	15	244	5	508	599	75	63	13	0	150	5	0	1	13	0	534	108	9	441	0	407	89	654	1020	35	5	14	37	175	279	0	6	84	159	43	504	377	2045	15	9	89	2027	1040	63	260	7	352	2671	203	5715	5	210	551	0	309	17	0	946	1085	146	20	6	3708	673	922	11	232	22	57	630	3	537	4
Tannerella	0	0	0	2	240	0	2	1	16	0	0	0	113	0	291	0	0	50	13	0	5	0	0	1	0	0	1	0	1	0	0	0	629	1	50	0	0	27	1	0	1	2	5	4	0	2	0	1	5	5	10	2	0	12	2	1	9	5	18	8	18	9	0	5	28	27	439	2	7	5	2	0	531	0	5	0	197	0	0	4	4	0	2	0	13	1	4	0	10	0	0	4	93	3	2	0	0	0	0	0	0	0	0	4	0	88	20	2	50	19	0	4	0	0	8	2	0	0	4	83	0	53	0	1	50	1	10	0	0	0	14	141	0	2678	23	0	22	1	0	115	85	12	0	5	1	0	5	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	73	13	0	0	0	1	0	0	1	6	0	0	0	0	4906	0	14	0	44	184	19	1	0	0	0	2	2	0	5	0	1	27	0	0	0	0	138	27	12	0	0	0	4	0	0	0	0	10464	5	1	9	22	20	3	0	3	147	52	16	0	0	1	23	0	13	0	33	2	0	1	2	0	0	1	328	0	0	3	18	6	0	15	0	4	7	3	7	5
Capnocytophaga	0	0	2	344	71	0	0	0	0	0	0	0	4	0	67	0	2	44	7	0	112	0	1	39	2	123	17	7	243	1	1	1099	19	34	18	0	34	10	58	2	15	0	19	2	19	3	0	7	21	41	17	5	14	129	12	0	39	87	316	3	15	8	7	15	463	68	1	50	0	317	0	0	230	553	21	88	90	0	0	0	48	0	292	0	0	7	163	11	20	4	7	32	290	21	18	0	0	0	0	2	0	0	0	56	0	176	144	1	16	310	7	12	2	1	46	0	0	1	32	66	0	2	0	20	91	2	24	0	9	160	12	12	29	10	19	12	308	163	0	5	51	67	18	7	253	0	14	0	1	0	2	0	1	0	0	0	0	0	0	3	3	0	0	0	21	0	4	118	1063	0	0	13	0	0	91	0	0	2	1	1365	79	254	45	20	63	0	0	24	0	0	0	7	0	10	103	11	106	0	4	2	16	273	67	0	0	17	61	25	5	0	0	16	2	32	17	99	13	23	7	35	158	123	16	0	30	33	9	76	0	3	251	0	25	0	0	22	7	43	0	0	553	10	262	0	15	2	28	0	0	4	0
Cloacibacterium	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	4	0	1	0	0	0	0	2	0	0	2	0	0	0	2	2	0	0	0	0	1	4	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1904	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	3	0	6	0	0	0	0	0	0	0	0
Empedobacter	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0	0	0	0	0	8	0	2	0	4	0	0	0	0	0	2	7	0	1	0	3	1	3	1	0	0	3	7	0	0	0	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	7	0	0	0	0	0	4	0	0	0	0	2	0	1	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	7	11	0	0	0	1	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	9	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	4	0	0	0	0	0	0
