Class	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	Ex	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	Ex	Ex	NonEx	Ex	FreqEx	NonEx	FreqEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	FreqEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	NonEx	Ex	FreqEx	Ex	Ex	NonEx	NonEx	FreqEx	NonEx	FreqEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	FreqEx	Ex	FreqEx	FreqEx	FreqEx	FreqEx	Ex	Ex	FreqEx	FreqEx	FreqEx	Ex	FreqEx	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	Ex	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	NonEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	Ex	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	NonEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx
Corynebacterium_striatum	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	0	0	0	1	19	5962	6258	4121	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1290	0	4	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	3	0	2	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Corynebacterium_urealyticum	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	8	2	0	0	0	0	0	2	0	9	6	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	2	0	0	2	1	2	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0
Lawsonella_clevelandensis	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1212	0	0	1	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	128	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus_luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	4	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0
Rothia_dentocariosa	0	0	0	16	14	0	4	14	1	0	4	0	76	0	161	0	5	40	6	0	4	29	7	6	1	5	36	4	61	10	3	1052	37	3	51	5	140	25	160	11	25	249	9	0	18	7	4	2	2	3	6	12	0	43	4	0	15	67	207	0	10	1	2	8	80	2	0	1	54	1481	7	2	61	10	0	141	76	1	0	0	69	0	5	0	44	0	8	0	57	5	28	11	55	17	34	1	0	3	0	0	0	0	0	10	0	75	40	4	92	30	0	0	12	51	22	6	0	16	122	70	3	42	0	0	162	42	0	12	97	1	4	66	31	1	105	6	37	86	0	0	10	36	13	0	25	0	17	4	16	0	9	0	0	0	7	3	0	5	117	5	22	0	0	3	192	0	12	4	44	3	4	16	16	0	103	137	3	0	1	9	0	42	37	0	44	17	0	75	3	0	0	4	0	71	688	20	76	1	15	0	205	13	42	0	0	16	19	14	0	0	0	20	2	46	100	28	13	18	82	108	283	21	19	1	18	73	1	28	24	13	967	0	4	5	0	27	29	45	30	5	79	43	38	0	230	0	4	4	0	40	4
Rothia_mucilaginosa	0	14	0	698	592	24	155	25	8	2	9	0	1601	20	301	6	12	1442	19	0	603	1877	45	624	41	106	471	46	2716	44	19	2115	655	185	1111	142	376	1302	3430	5	1086	2745	170	38	84	18	7	20	43	13	33	4	24	397	3	1	132	400	785	6	161	18	16	137	1586	41	4	19	4870	1055	298	1	415	1875	1	3063	748	3	1	2	155	2	327	265	3311	3	195	8	4888	32	73	27	1292	90	826	0	4	8	7	2	0	14	3	391	17	246	1516	8	70	1045	10	40	429	42	76	161	20	11	2807	762	11	30	2	30	213	77	0	9	998	56	33	435	279	36	690	454	792	894	33	56	247	415	149	65	13	0	158	262	329	0	45	3	9	3	27	724	3	9	46	38	61	32	4	24	1592	0	5	96	588	5	0	44	54	56	137	198	84	23	5	647	2	129	641	32	508	1	0	4820	73	13	33	61	12	3569	3161	514	2356	1	738	26	770	644	1194	14	5	302	136	124	50	4	9	121	223	1897	164	882	243	126	2004	109	487	789	32	23	92	811	131	1644	88	117	698	0	11	22	57	206	1543	323	1248	2	966	226	1123	2	706	31	3	31	17	203	46
Tropheryma_whipplei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium_freudenreichii	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	6	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0	1	7	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	2	0	5	1	0	3	0	0	0	0	0	0	0	2	0	4	2	5	0	0	4	1	4	0	0	0	0	8	0	0	0	0	3	0	1	0	0	1	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0
Pseudopropionibacterium_propionicum	0	0	0	0	1	0	0	0	0	0	0	0	0	0	72	0	0	16	0	0	30	0	2	3	0	0	12	0	75	0	0	5	16	6	2	0	37	2	15	0	1	0	0	4	1	1	0	0	0	1	0	0	0	1	0	0	0	13	61	0	0	0	1	0	14	3	0	0	171	3	0	0	78	3	63	0	30	0	0	2	6	0	14	0	0	0	1	0	1	0	3	0	66	11	1	0	0	0	0	0	0	0	0	0	0	1	11	0	3	6	1	0	0	0	65	0	0	7	3	11	0	0	0	0	4	1	0	0	0	1	0	0	2	0	0	0	6	3	0	12	13	2	0	0	46	0	3	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	5	0	0	1	0	0	1	0	0	0	0	0	0	11	29	4	25	0	0	3	2	0	0	2	0	10	5	0	367	0	1	0	0	92	4	0	0	0	58	0	0	0	0	0	0	0	10	12	0	0	3	11	10	15	0	3	0	5	0	3	0	0	86	0	1	0	0	1	8	19	0	0	322	3	12	0	2	0	0	0	0	1	0
Atopobium_parvulum	0	0	0	15	0	0	2	0	0	0	0	0	50	0	26	0	0	9	25	0	25	39	4	19	0	7	7	1	6	1	0	42	17	73	26	1	31	77	20	11	70	41	5	0	1	0	0	0	4	0	0	0	1	13	0	0	13	7	72	1	31	0	0	7	27	12	0	11	21	35	0	0	53	13	7	16	42	1	0	54	323	0	24	20	3	2	11	54	80	31	0	1	72	3	3	0	0	0	1	0	0	0	0	32	0	26	97	0	3	10	0	0	5	2	20	4	2	0	24	6	0	7	1	0	8	12	25	0	40	4	7	119	9	1	20	2	13	57	3	29	39	3	0	0	1	0	75	10	1	0	8	0	1	0	0	0	0	47	0	1	21	0	8	3	34	0	8	0	3	7	0	1	2	6	16	3	0	0	0	2	0	6	1	1	2	0	0	2	0	0	0	6	0	5	6	0	43	0	24	0	162	17	6	0	1	12	0	7	1	0	0	25	2	75	12	98	0	2	106	67	27	5	26	1	10	72	20	66	0	22	28	0	4	2	0	47	118	4	0	3	320	56	38	0	13	0	4	54	0	86	4
